Protein,Log2 Fold,p-value,Unique Pep,Sig1,Sig2,Clamped
slr0985,0.8412802863,2.22E-16,2,TRUE,FALSE,0.8412802863
sll1362,0.8410702188,0.00E+00,18,TRUE,FALSE,0.8410702188
slr0909,0.8213195706,0.00E+00,7,TRUE,FALSE,0.8213195706
slr0520,0.8053532114,0.00E+00,5,TRUE,FALSE,0.8053532114
sll0158,0.7948140138,0.00E+00,20,TRUE,FALSE,0.7948140138
slr0194,0.7889815872,3.22E-15,13,TRUE,FALSE,0.7889815872
sll1382,0.779825067,2.44E-06,2,TRUE,FALSE,0.779825067
slr0015,0.7691632071,0.00E+00,5,TRUE,FALSE,0.7691632071
slr1423,0.7682347622,4.81E-13,3,TRUE,FALSE,0.7682347622
sll1580,0.7594275122,0.00E+00,30,TRUE,FALSE,0.7594275122
slr0213,0.7576570779,0.00E+00,11,TRUE,FALSE,0.7576570779
slr0528,0.7520737744,0.00E+00,10,TRUE,FALSE,0.7520737744
sll0587,0.7517904675,9.34E-11,4,TRUE,FALSE,0.7517904675
sll0080,0.7432150931,0.00E+00,8,TRUE,FALSE,0.7432150931
slr0772,0.7234966465,1.80E-08,1,FALSE,FALSE,0
sll1561,0.7188235646,0.00E+00,23,TRUE,FALSE,0.7188235646
slr2072,0.7186883225,0.00E+00,10,TRUE,FALSE,0.7186883225
sll1356,0.7180427004,0.00E+00,26,TRUE,FALSE,0.7180427004
slr0523,0.7135017156,2.91E-08,3,TRUE,FALSE,0.7135017156
slr0212,0.7050418333,0.00E+00,8,TRUE,FALSE,0.7050418333
sll1894,0.7045847998,5.55E-16,6,TRUE,FALSE,0.7045847998
ssl3093,0.6896618838,1.43E-11,16,TRUE,FALSE,0.6896618838
slr2094,0.6894370813,0.00E+00,20,TRUE,FALSE,0.6894370813
slr0839,0.6880357774,1.80E-14,3,TRUE,FALSE,0.6880357774
slr0426,0.6795282581,0.00E+00,14,TRUE,FALSE,0.6795282581
sll1848,0.6720786243,3.57E-05,1,FALSE,FALSE,0
sll1058,0.6716147029,0.00E+00,6,TRUE,FALSE,0.6716147029
sll0374,0.6631007982,3.17E-13,4,TRUE,FALSE,0.6631007982
slr1626,0.662827526,1.45E-11,3,TRUE,FALSE,0.662827526
slr0055,0.6600931102,1.37E-09,3,TRUE,FALSE,0.6600931102
sll1275,0.6587065632,0.00E+00,13,TRUE,FALSE,0.6587065632
sll0680,0.6382064044,0.00E+00,7,TRUE,FALSE,0.6382064044
slr0737,0.6320327302,0.00E+00,10,TRUE,FALSE,0.6320327302
sll0078,0.6304872003,1.08E-08,18,TRUE,FALSE,0.6304872003
slr0546,0.6301572837,2.47E-09,3,TRUE,FALSE,0.6301572837
slr1159,0.6297366734,1.79E-11,10,TRUE,FALSE,0.6297366734
slr1165,0.6242749026,0.00E+00,16,TRUE,FALSE,0.6242749026
sll0454,0.6228173397,9.99E-16,9,TRUE,FALSE,0.6228173397
sll1614,0.6212034748,3.23E-08,2,TRUE,FALSE,0.6212034748
sll0990,0.619818728,1.40E-03,2,FALSE,FALSE,0
sll1502,0.6125526657,0.00E+00,35,TRUE,FALSE,0.6125526657
slr2082,0.6098229712,2.23E-07,1,FALSE,FALSE,0
slr0335,0.6025162916,0.00E+00,67,TRUE,FALSE,0.6025162916
slr1255,0.6008272583,8.74E-10,1,FALSE,FALSE,0
slr1645,0.6004577471,9.00E-14,7,TRUE,FALSE,0.6004577471
slr0525,0.5983505833,0.00E+00,7,TRUE,FALSE,0.5983505833
sll1184,0.5955956265,0.00E+00,11,TRUE,FALSE,0.5955956265
sll1521,0.589601189,1.11E-16,21,TRUE,FALSE,0.589601189
ssr2831,0.5871857783,0.00E+00,2,TRUE,FALSE,0.5871857783
slr1124,0.5752108834,4.91E-13,8,TRUE,FALSE,0.5752108834
sll1605,0.5731973347,0.00E+00,2,TRUE,FALSE,0.5731973347
slr1834,0.5722742677,5.22E-15,25,TRUE,FALSE,0.5722742677
slr1463,0.5696957406,0.00E+00,36,TRUE,FALSE,0.5696957406
sll1214,0.5659072918,0.00E+00,18,TRUE,FALSE,0.5659072918
slr0665,0.5619398483,0.00E+00,20,TRUE,FALSE,0.5619398483
sll0404,0.5595089267,1.21E-07,6,TRUE,FALSE,0.5595089267
sll1220,0.5584496601,1.61E-11,0,FALSE,FALSE,0
sll1262,0.5568960668,0.00E+00,6,TRUE,FALSE,0.5568960668
slr1351,0.5538026294,1.30E-14,4,TRUE,FALSE,0.5538026294
sll1577,0.5460536122,3.35E-07,39,TRUE,FALSE,0.5460536122
slr1616,0.5402145627,0.00E+00,5,TRUE,FALSE,0.5402145627
sll1070,0.5347618089,0.00E+00,24,TRUE,FALSE,0.5347618089
sll1553,0.5327847491,0.00E+00,24,TRUE,FALSE,0.5327847491
sll1080,0.5315728394,6.03E-04,4,FALSE,FALSE,0
sll1981,0.5307993463,2.25E-13,10,TRUE,FALSE,0.5307993463
sll1221,0.5276925281,1.54E-09,13,TRUE,FALSE,0.5276925281
slr1879,0.5236488858,1.71E-04,1,FALSE,FALSE,0
slr0646,0.5226185065,3.50E-04,1,FALSE,FALSE,0
sll0006,0.5204302244,6.50E-13,16,TRUE,FALSE,0.5204302244
sll1566,0.5187504449,1.73E-13,7,TRUE,FALSE,0.5187504449
sll0851,0.5177693056,1.99E-12,23,TRUE,FALSE,0.5177693056
slr0453,0.5173887846,1.22E-08,25,TRUE,FALSE,0.5173887846
sll1363,0.5140876545,0.00E+00,16,TRUE,FALSE,0.5140876545
slr0288,0.5125900699,1.46E-10,32,TRUE,FALSE,0.5125900699
slr0776,0.5072089398,1.44E-06,5,TRUE,FALSE,0.5072089398
sll2010,0.5055009814,8.00E-12,2,TRUE,FALSE,0.5055009814
sll1343,0.4984477976,0.00E+00,19,TRUE,FALSE,0.4984477976
sll0838,0.4977012652,5.76E-09,3,TRUE,FALSE,0.4977012652
slr1312,0.4953664911,6.07E-08,6,TRUE,FALSE,0.4953664911
slr0354,0.4949738851,7.69E-04,1,FALSE,FALSE,0
sll1270,0.4949342838,0.00E+00,8,TRUE,FALSE,0.4949342838
slr1916,0.4896683603,7.25E-12,6,TRUE,FALSE,0.4896683603
sll0945,0.4873831478,1.33E-15,15,TRUE,FALSE,0.4873831478
slr0633,0.4873285974,2.02E-01,1,FALSE,FALSE,0
slr1829,0.4850696242,0.00E+00,12,TRUE,FALSE,0.4850696242
sll1852,0.4836327947,0.00E+00,7,TRUE,FALSE,0.4836327947
slr1329,0.4835587105,0.00E+00,28,TRUE,FALSE,0.4835587105
ssr3383,0.4816882764,6.94E-11,5,TRUE,FALSE,0.4816882764
sll0819,0.4809261226,5.11E-15,19,TRUE,FALSE,0.4809261226
sll0520,0.4797728639,1.22E-15,10,TRUE,FALSE,0.4797728639
slr1986,0.4774335697,3.11E-15,45,TRUE,FALSE,0.4774335697
slr1030,0.4756248702,3.33E-16,13,TRUE,FALSE,0.4756248702
sll0504,0.4755802159,1.59E-14,9,TRUE,FALSE,0.4755802159
sll1498,0.4742848205,7.77E-16,3,TRUE,FALSE,0.4742848205
slr0357,0.4723231961,0.00E+00,5,TRUE,FALSE,0.4723231961
slr0056,0.4715446748,2.63E-11,2,TRUE,FALSE,0.4715446748
sll0336,0.4674446723,5.72E-12,3,TRUE,FALSE,0.4674446723
sll0927,0.4625562424,1.77E-14,11,TRUE,FALSE,0.4625562424
sll1027,0.4594423682,2.22E-16,13,TRUE,FALSE,0.4594423682
slr1534,0.4543362726,2.44E-05,5,FALSE,FALSE,0
slr0953,0.4491792947,2.45E-06,3,TRUE,FALSE,0.4491792947
slr1280,0.4473767505,1.29E-11,14,TRUE,FALSE,0.4473767505
sll1625,0.4453644182,1.95E-09,6,TRUE,FALSE,0.4453644182
sll1435,0.4445218315,2.89E-15,18,TRUE,FALSE,0.4445218315
slr1735,0.4425003172,2.01E-13,8,TRUE,FALSE,0.4425003172
slr0500,0.4405757355,1.08E-05,2,FALSE,FALSE,0
slr1226,0.4386505612,5.88E-15,10,TRUE,FALSE,0.4386505612
slr0710,0.438158998,2.87E-12,6,TRUE,FALSE,0.438158998
sll1578,0.4355471185,3.20E-13,51,TRUE,FALSE,0.4355471185
smr0007,0.4338382297,1.10E-02,1,FALSE,FALSE,0
slr1368,0.4329566173,2.92E-13,6,TRUE,FALSE,0.4329566173
sll2001,0.4287780988,0.00E+00,21,TRUE,FALSE,0.4287780988
slr0838,0.4249197301,0.00E+00,5,TRUE,FALSE,0.4249197301
sll0728,0.4227772943,0.00E+00,9,TRUE,FALSE,0.4227772943
slr0943,0.4215183536,1.81E-13,12,TRUE,FALSE,0.4215183536
sll1336,0.4203903591,0.00E+00,19,TRUE,FALSE,0.4203903591
sll1682,0.4203047614,1.22E-15,8,TRUE,FALSE,0.4203047614
sll1091,0.4172640902,0.00E+00,21,TRUE,FALSE,0.4172640902
slr0526,0.412390222,6.13E-04,1,FALSE,FALSE,0
slr1133,0.4112470237,2.22E-16,11,TRUE,FALSE,0.4112470237
sll1223,0.4100170473,2.23E-04,3,FALSE,FALSE,0
slr1934,0.4100035375,0.00E+00,15,TRUE,FALSE,0.4100035375
sll1479,0.4086228283,1.18E-10,7,TRUE,FALSE,0.4086228283
slr2051,0.4066899195,1.16E-11,31,TRUE,FALSE,0.4066899195
slr0379,0.4049610484,6.01E-05,2,FALSE,FALSE,0
slr0783,0.4012161763,2.24E-09,6,TRUE,FALSE,0.4012161763
slr1200,0.3999773698,2.97E-09,1,FALSE,FALSE,0
slr0773,0.3971645941,2.58E-01,1,FALSE,FALSE,0
sll1226,0.3954926264,3.01E-08,7,TRUE,FALSE,0.3954926264
slr1887,0.3924912319,0.00E+00,20,TRUE,FALSE,0.3924912319
slr0348,0.391254645,1.62E-06,5,TRUE,FALSE,0.391254645
slr1609,0.3866666293,3.87E-12,13,TRUE,FALSE,0.3866666293
sll1326,0.3860377407,0.00E+00,30,TRUE,FALSE,0.3860377407
sll1234,0.3845820311,2.29E-14,12,TRUE,FALSE,0.3845820311
slr1843,0.3825804349,0.00E+00,30,TRUE,FALSE,0.3825804349
sll1841,0.3816083686,2.00E-12,15,TRUE,FALSE,0.3816083686
sll0147,0.3810370142,6.28E-09,6,TRUE,FALSE,0.3810370142
slr0519,0.3781680523,2.68E-02,2,FALSE,FALSE,0
slr1835,0.3754519764,7.44E-14,25,TRUE,FALSE,0.3754519764
sll0529,0.3749520476,1.67E-15,19,TRUE,FALSE,0.3749520476
slr0220,0.3744886676,0.00E+00,14,TRUE,FALSE,0.3744886676
sll1688,0.3744564387,8.76E-09,10,TRUE,FALSE,0.3744564387
sll0813,0.3739824203,5.55E-16,3,TRUE,FALSE,0.3739824203
slr0958,0.369453196,1.22E-14,5,TRUE,FALSE,0.369453196
slr0782,0.368456947,1.47E-05,5,FALSE,FALSE,0
slr0452,0.3648461571,8.16E-14,21,TRUE,FALSE,0.3648461571
sll0521,0.3584766567,1.31E-09,2,TRUE,FALSE,0.3584766567
sll0053,0.3563888465,6.66E-16,10,TRUE,FALSE,0.3563888465
slr0963,0.3534150486,2.10E-14,25,TRUE,FALSE,0.3534150486
sll0422,0.3510079139,6.62E-12,8,TRUE,FALSE,0.3510079139
slr0293,0.3475692169,8.16E-03,1,FALSE,FALSE,0
sll1329,0.3474373496,2.37E-01,1,FALSE,FALSE,0
slr0536,0.3442134279,1.57E-13,13,TRUE,FALSE,0.3442134279
slr1302,0.3409594136,8.39E-12,7,TRUE,FALSE,0.3409594136
slr0809,0.3394563968,7.02E-10,5,TRUE,FALSE,0.3394563968
slr0557,0.3357186193,8.18E-13,20,TRUE,FALSE,0.3357186193
sll1470,0.3352129364,3.89E-15,12,TRUE,FALSE,0.3352129364
sll0362,0.3351818775,3.89E-14,14,TRUE,FALSE,0.3351818775
slr2035,0.3326949343,7.32E-04,4,FALSE,FALSE,0
slr0306,0.332566565,1.93E-04,1,FALSE,FALSE,0
slr0649,0.3320619794,4.40E-06,10,TRUE,FALSE,0.3320619794
slr1176,0.3319632295,2.75E-12,23,TRUE,FALSE,0.3319632295
sll0370,0.3307996478,3.33E-16,32,TRUE,FALSE,0.3307996478
sll1327,0.3300177431,8.77E-15,9,TRUE,FALSE,0.3300177431
sll1931,0.3300069733,7.83E-09,17,TRUE,FALSE,0.3300069733
slr0009,0.3279264253,6.36E-12,42,TRUE,FALSE,0.3279264253
slr0597,0.3269076841,9.89E-13,17,TRUE,FALSE,0.3269076841
sll1077,0.3259050537,3.67E-03,1,FALSE,FALSE,0
sll0753,0.3225920498,1.14E-08,10,TRUE,FALSE,0.3225920498
slr0506,0.3225826567,1.78E-15,20,TRUE,FALSE,0.3225826567
sll1224,0.3185554178,4.80E-04,1,FALSE,FALSE,0
sll1721,0.315790811,1.11E-16,18,TRUE,FALSE,0.315790811
slr0261,0.3120326477,0.00E+00,18,TRUE,FALSE,0.3120326477
sll0070,0.3106581053,9.18E-04,4,FALSE,FALSE,0
sll0108,0.309262005,4.96E-08,2,TRUE,FALSE,0.309262005
slr0940,0.3082942916,1.05E-09,9,TRUE,FALSE,0.3082942916
slr0906,0.3075924504,1.31E-13,25,TRUE,FALSE,0.3075924504
sll5079,0.3018786204,6.59E-08,5,TRUE,FALSE,0.3018786204
slr1790,0.2997925998,5.42E-12,1,FALSE,FALSE,0
sll1393,0.2997867328,4.33E-09,18,TRUE,FALSE,0.2997867328
ssl0352,0.2995031112,9.06E-05,3,FALSE,FALSE,0
slr1727,0.2955765424,6.84E-08,5,TRUE,FALSE,0.2955765424
slr2002,0.2885604282,1.11E-16,31,TRUE,FALSE,0.2885604282
slr0559,0.2880588645,1.25E-13,12,TRUE,FALSE,0.2880588645
sll1325,0.2854691885,1.01E-13,8,TRUE,FALSE,0.2854691885
sll1185,0.2850195761,4.92E-12,13,TRUE,FALSE,0.2850195761
slr1311,0.2829641475,3.72E-14,14,TRUE,FALSE,0.2829641475
sll1108,0.2798726394,6.34E-05,2,FALSE,FALSE,0
sll0928,0.2788537046,8.41E-08,15,TRUE,FALSE,0.2788537046
slr2089,0.2783756311,3.57E-04,7,FALSE,FALSE,0
slr1923,0.2779994365,6.62E-08,11,TRUE,FALSE,0.2779994365
