Protein,Log2 Fold,p-value,Unique Pep,Sig1,Sig2,Clamped
slr0032,0.08500438966,3.89E-04,15,FALSE,FALSE,0
sll1213,0.08181867359,2.30E-05,13,FALSE,FALSE,0
sll1451,0.07668397895,1.40E-01,1,FALSE,FALSE,0
sll1525,0.07478743171,9.69E-06,28,FALSE,FALSE,0
slr0638,0.07452093974,1.83E-04,4,FALSE,FALSE,0
slr0036,0.07444252555,2.34E-01,1,FALSE,FALSE,0
slr1269,0.07144953008,2.46E-01,1,FALSE,FALSE,0
slr1289,0.06835105571,4.66E-02,18,FALSE,FALSE,0
slr1841,0.06777975282,1.87E-01,8,FALSE,FALSE,0
slr0171,0.06647184409,1.36E-02,4,FALSE,FALSE,0
slr1051,0.0655252177,3.37E-02,14,FALSE,FALSE,0
sll0634,0.06481142926,1.58E-01,5,FALSE,FALSE,0
sll1945,0.0634068352,1.14E-01,9,FALSE,FALSE,0
sll1172,0.06284111359,2.53E-02,6,FALSE,FALSE,0
slr0946,0.0527169306,1.20E-01,2,FALSE,FALSE,0
slr1793,0.05244145769,2.57E-04,20,FALSE,FALSE,0
sll1612,0.05173363369,2.90E-01,1,FALSE,FALSE,0
slr0898,0.04729986367,1.08E-01,23,FALSE,FALSE,0
slr0879,0.04602609266,1.69E-01,4,FALSE,FALSE,0
slr0458,0.04293938683,3.51E-01,2,FALSE,FALSE,0
sll0065,0.04179882889,1.02E-01,8,FALSE,FALSE,0
slr0884,0.03234506401,2.08E-02,14,FALSE,FALSE,0
sll1973,0.03099705355,3.61E-01,1,FALSE,FALSE,0
sll0100,0.03060252058,3.28E-01,1,FALSE,FALSE,0
sll0171,0.02486308335,2.69E-01,3,FALSE,FALSE,0
sll0920,0.02216714993,2.48E-02,26,FALSE,FALSE,0
slr1330,0.02117168527,3.44E-01,6,FALSE,FALSE,0
slr1945,0.02009102353,1.53E-01,8,FALSE,FALSE,0
sll1750,0.01509766598,3.91E-01,10,FALSE,FALSE,0
sll1776,0.01447663312,2.54E-01,4,FALSE,FALSE,0
sll1823,0.0142490827,3.20E-01,17,FALSE,FALSE,0
slr1784,0.01394558339,4.02E-01,6,FALSE,FALSE,0
sll0712,0.01373846216,2.75E-01,14,FALSE,FALSE,0
sll1908,0.01286651031,2.43E-01,24,FALSE,FALSE,0
slr1347,0.01066711181,3.37E-01,8,FALSE,FALSE,0
sll0689,0.009825458403,4.39E-01,4,FALSE,FALSE,0
sll1883,0.006521633223,3.95E-01,14,FALSE,FALSE,0
slr0721,0.004796145969,4.69E-01,9,FALSE,FALSE,0
slr1517,0.003924177236,4.11E-01,16,FALSE,FALSE,0
slr1560,-0.0001363424305,4.99E-01,8,FALSE,FALSE,0
slr0529,-0.0005037080261,4.98E-01,3,FALSE,FALSE,0
slr1874,-0.003378378923,4.73E-01,5,FALSE,FALSE,0
sll0629,-0.005998640522,3.92E-01,2,FALSE,FALSE,0
sll0934,-0.01195962869,3.62E-01,15,FALSE,FALSE,0
ssl2296,-0.01501348383,3.27E-01,2,FALSE,FALSE,0
slr0370,-0.01753426653,3.04E-01,9,FALSE,FALSE,0
sll0401,-0.01845202558,2.12E-01,10,FALSE,FALSE,0
